Phase,Customer Actions,Touchpoints & Devices,Other Actions,Systems & Processes,Other Actions,"Infrastructure, Partners & Networks",Notes,Customer Value,NSF Value
> 90 days prior to deadline,Follow NSF SBIR on social media,,,,,,,,
,See ads,,,,,,,Discovery: Learns about funding (?) opportunity. What do we want the viewer to learn from the ads?,Customer development
,(Think about starting a company),"Fax, Mail or Online: https://www.irs.gov/businesses/small-businesses-self-employed/employer-id-numbers-eins ",Apply for Employer Identification Number (EIN),IRS,,,(1) What is the motivation for someone to start a company? (2) What other actions do they need to take in order to become a company? (3) How much time/$ does it take to obtain an EIN? ,,
,Pursue post-doc studies,,,,,,,Education,
,Attend events for fundraising.,SBA road tour: http://www.sbirroadtour.com/,,,,,,Interaction / networking with industry,
,,VC Summit and similar investor events,,,,,,Assess opportunity cost of pursuing one funding path vs. another,
,,Local Transfer of Technology (ToT) or Development of Technology Transfer office,,,,,,,
,,"Tradeshows and conferences (e.g., CES, SXSW)",,,,,,,
,,"Funding webinars (e.g., CIT.org — Center for Innovation Technology: http://www.cit.org/service-lines/cit-entrepreneur-webinars/ )",,,,,,,
– 90 days,Speak to NSF Staff,Business card (exchanged from event),,,,,,,
,,NSF SBIR website,,,,,,,
,Sign up for newsletter (listserv),NSF SBIR website,,,,,,Learn about upcoming announcements. (Quarterly updates),
,Research and figure out other awardees,NSF SBIR awards search ,,,,,,,
,,Reaching out to network to see if they know NSF SBIR,,,,,,,
,,Word-of-mouth,,,,,,,
,,Crunchbase,,,,,,,
,,LinkedIn,,,,,,,
,Watch videos,NSF SBIR website / YouTube,,,,,,,
,Read technology topic areas,NSF SBIR website,,,,,,,
,Submit Executive Summary,Emails (PD contact info obtained from website),,,,,Some email different PDs and get different answers from each. 10-12% of executive summaries fall through the cracks and are left unanswered. (This is sensitive; a known problem),Receive feedback that can be valuable in shaping their proposal for submission and potentially improve their chance of receiving an award.,
,,Program Director receives an unsolicited email; prompts them for a summary. ,,,,,,,
,,Cold call email,,,,,,,
– 60-30 days ,Read solicitation.,NSF SBIR website,,,,,Each solicitation only active ~60 days each year.,,
,Attend webinar.,NSF SBIR website,,WebEx,,,NSF SBIR is not allowed to conduct these until the solicitation has been posted.,,
,,Email signature,,,,,,,
,,Social media,,,,,,,
,,Listserv,,,,,,,
,Read FAQs.,NSF SBIR website: https://www.nsf.gov/pubs/2017/nsf17029/nsf17029.jsp,,,,,FAQs need to undergo legal review,,
,Apply for a DUNS number (requires EIN tax number),Online: https://fedgov.dnb.com/webform,,Dun & Bradstreet,,IRS,(1) Takes 30 days for a free DUNS number or 5 days for a $50 fee.,,
,Register entity with SAM.gov,Online: https://www.sam.gov/portal/SAM/,,System for Award Management (SAM),??,,(1) How long does this process take if you’re starting from scratch?,,
,"Register firm with SBIR.gov (requires EIN, DUNS)",Online: https://www.sbir.gov/registration ,,SBIR,Check EIN and/or DUNS number.,IRS and/or D&B,(1) May take 2-6 weeks turnaround.,,
